nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
29Z :acc 0.5643 , nmi 0.3441 , ari 0.2979 , f1 0.4258
29P :acc 0.5151 , nmi 0.2624 , ari 0.2354 , f1 0.4496


30Q :acc 0.5151 , nmi 0.2614 , ari 0.2351 , f1 0.4478
30Z :acc 0.5572 , nmi 0.3423 , ari 0.2899 , f1 0.4078
30P :acc 0.5148 , nmi 0.2617 , ari 0.2350 , f1 0.4487


31Q :acc 0.5144 , nmi 0.2607 , ari 0.2342 , f1 0.4468
31Z :acc 0.5513 , nmi 0.3388 , ari 0.2819 , f1 0.3891
31P :acc 0.5144 , nmi 0.2613 , ari 0.2347 , f1 0.4482


32Q :acc 0.5151 , nmi 0.2614 , ari 0.2348 , f1 0.4478
32Z :acc 0.5484 , nmi 0.3374 , ari 0.2768 , f1 0.3803
32P :acc 0.5144 , nmi 0.2613 , ari 0.2346 , f1 0.4481


33Q :acc 0.5151 , nmi 0.2613 , ari 0.2347 , f1 0.4477
33Z :acc 0.5476 , nmi 0.3369 , ari 0.2755 , f1 0.3798
33P :acc 0.5148 , nmi 0.2613 , ari 0.2342 , f1 0.4486


34Q :acc 0.5151 , nmi 0.2612 , ari 0.2346 , f1 0.4476
34Z :acc 0.5473 , nmi 0.3367 , ari 0.2744 , f1 0.3800
34P :acc 0.5144 , nmi 0.2612 , ari 0.2340 , f1 0.4481


35Q :acc 0.5144 , nmi 0.2609 , ari 0.2340 , f1 0.4470
35Z :acc 0.5458 , nmi 0.3349 , ari 0.2733 , f1 0.3787
35P :acc 0.5151 , nmi 0.2617 , ari 0.2344 , f1 0.4489


36Q :acc 0.5144 , nmi 0.2609 , ari 0.2340 , f1 0.4470
36Z :acc 0.5502 , nmi 0.3387 , ari 0.2797 , f1 0.4071
36P :acc 0.5148 , nmi 0.2614 , ari 0.2342 , f1 0.4481


37Q :acc 0.5140 , nmi 0.2604 , ari 0.2336 , f1 0.4466
37Z :acc 0.5517 , nmi 0.3372 , ari 0.2792 , f1 0.4105
37P :acc 0.5144 , nmi 0.2609 , ari 0.2338 , f1 0.4478


38Q :acc 0.5137 , nmi 0.2600 , ari 0.2333 , f1 0.4461
38Z :acc 0.5524 , nmi 0.3405 , ari 0.2840 , f1 0.4189
38P :acc 0.5148 , nmi 0.2606 , ari 0.2338 , f1 0.4487


39Q :acc 0.5140 , nmi 0.2602 , ari 0.2331 , f1 0.4467
39Z :acc 0.5543 , nmi 0.3390 , ari 0.2841 , f1 0.4227
39P :acc 0.5148 , nmi 0.2606 , ari 0.2337 , f1 0.4485


40Q :acc 0.5140 , nmi 0.2602 , ari 0.2331 , f1 0.4467
40Z :acc 0.5547 , nmi 0.3455 , ari 0.2897 , f1 0.4072
40P :acc 0.5148 , nmi 0.2603 , ari 0.2335 , f1 0.4484


41Q :acc 0.5140 , nmi 0.2601 , ari 0.2331 , f1 0.4466
41Z :acc 0.5620 , nmi 0.3448 , ari 0.2966 , f1 0.4152
41P :acc 0.5148 , nmi 0.2603 , ari 0.2335 , f1 0.4484


42Q :acc 0.5144 , nmi 0.2595 , ari 0.2329 , f1 0.4475
42Z :acc 0.5679 , nmi 0.3518 , ari 0.3018 , f1 0.4273
42P :acc 0.5151 , nmi 0.2605 , ari 0.2335 , f1 0.4491


43Q :acc 0.5144 , nmi 0.2595 , ari 0.2329 , f1 0.4475
43Z :acc 0.5739 , nmi 0.3598 , ari 0.3109 , f1 0.4348
43P :acc 0.5151 , nmi 0.2603 , ari 0.2333 , f1 0.4490


44Q :acc 0.5144 , nmi 0.2596 , ari 0.2328 , f1 0.4474
44Z :acc 0.5809 , nmi 0.3623 , ari 0.3189 , f1 0.4426
44P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


45Q :acc 0.5144 , nmi 0.2596 , ari 0.2328 , f1 0.4474
45Z :acc 0.5816 , nmi 0.3714 , ari 0.3185 , f1 0.4464
45P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


46Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
46Z :acc 0.5835 , nmi 0.3694 , ari 0.3216 , f1 0.4473
46P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


47Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
47Z :acc 0.5831 , nmi 0.3703 , ari 0.3212 , f1 0.4475
47P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


48Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
48Z :acc 0.5823 , nmi 0.3698 , ari 0.3180 , f1 0.4478
48P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


49Q :acc 0.5148 , nmi 0.2599 , ari 0.2330 , f1 0.4481
49Z :acc 0.5835 , nmi 0.3695 , ari 0.3203 , f1 0.4484
49P :acc 0.5151 , nmi 0.2602 , ari 0.2333 , f1 0.4490


